                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.42,                 1.5368,                 1.7267,                  0.801,                0.72742,                0.77187,                0.45205,                 1.4727,                 1.0798,                 1.8957,             0.00055342,             0.00055342,             0.00055342
                      2,                 1.3708,                 1.4903,                 1.6945,                 0.7522,                0.67682,                0.73656,                0.40884,                 1.5226,                  1.294,                 1.9372,              0.0011018,              0.0011018,              0.0011018
                      3,                 1.3985,                 1.5237,                 1.7094,                0.71884,                0.64352,                 0.6982,                0.36529,                 1.6157,                 1.3544,                 2.0188,              0.0016428,              0.0016428,              0.0016428
                      4,                 1.3999,                 1.5648,                 1.7213,                0.72566,                0.67032,                0.71109,                0.37378,                 1.5979,                  1.291,                  2.005,               0.001634,               0.001634,               0.001634
                      5,                 1.4109,                 1.5581,                 1.7256,                0.77443,                0.68928,                0.76354,                0.40532,                 1.5501,                 1.1758,                 1.9458,               0.001634,               0.001634,               0.001634
                      6,                 1.3733,                 1.5244,                 1.6924,                 0.7381,                0.69889,                0.74865,                0.39698,                 1.5495,                 1.2931,                 1.9172,               0.001623,               0.001623,               0.001623
                      7,                 1.3717,                 1.5075,                 1.6851,                0.68315,                0.58148,                0.64249,                0.31822,                 1.6343,                 1.5917,                 2.0013,               0.001612,               0.001612,               0.001612
                      8,                  1.344,                 1.4409,                  1.664,                  0.769,                0.69218,                0.75641,                0.40521,                 1.6146,                 1.2754,                  1.972,               0.001601,               0.001601,               0.001601
                      9,                 1.3299,                 1.4226,                   1.65,                0.80169,                0.71485,                0.79731,                0.44103,                 1.4934,                 1.1316,                 1.8669,                0.00159,                0.00159,                0.00159
                     10,                 1.3351,                 1.4341,                 1.6631,                0.78201,                0.68498,                0.75272,                0.39864,                 1.5836,                 1.1671,                 1.9756,               0.001579,               0.001579,               0.001579
                     11,                 1.2975,                 1.3815,                 1.6354,                0.80085,                0.72703,                0.79096,                0.43821,                 1.5061,                  1.116,                 1.8966,               0.001568,               0.001568,               0.001568
                     12,                 1.3294,                 1.3717,                 1.6419,                0.80037,                0.72477,                 0.7858,                0.43854,                 1.5177,                  1.146,                 1.8779,               0.001557,               0.001557,               0.001557
                     13,                 1.2813,                 1.3361,                 1.6138,                0.81609,                0.75202,                0.80929,                 0.4578,                 1.4761,                 1.0283,                 1.8637,               0.001546,               0.001546,               0.001546
                     14,                 1.2848,                 1.3169,                 1.6159,                0.77355,                0.69271,                0.76156,                 0.4143,                 1.5253,                 1.1529,                 1.8818,               0.001535,               0.001535,               0.001535
                     15,                 1.2679,                 1.3088,                 1.5953,                0.82563,                0.72895,                0.81195,                0.44784,                 1.4774,                  1.069,                 1.8292,               0.001524,               0.001524,               0.001524
                     16,                 1.2727,                 1.2928,                 1.5915,                0.81211,                0.76344,                0.81754,                0.46232,                 1.4534,                 1.0278,                 1.8123,               0.001513,               0.001513,               0.001513
                     17,                 1.2658,                 1.2492,                 1.5829,                0.80054,                0.73946,                0.80942,                0.44797,                 1.4752,                 1.0344,                 1.8641,               0.001502,               0.001502,               0.001502
                     18,                 1.2613,                 1.2541,                 1.5901,                0.83277,                0.69071,                0.79663,                0.44011,                 1.4793,                 1.0974,                 1.8437,               0.001491,               0.001491,               0.001491
                     19,                 1.2603,                  1.266,                 1.5912,                0.77508,                0.72475,                0.80564,                0.43416,                 1.5604,                 1.0956,                 1.8678,                0.00148,                0.00148,                0.00148
                     20,                 1.2383,                 1.2316,                 1.5713,                0.80971,                0.74927,                0.82197,                0.46821,                 1.4815,                 1.0092,                 1.8416,               0.001469,               0.001469,               0.001469
                     21,                 1.2352,                 1.2052,                 1.5656,                0.82941,                 0.7166,                0.80918,                0.44541,                 1.5411,                 1.0249,                 1.8642,               0.001458,               0.001458,               0.001458
                     22,                 1.2214,                 1.2041,                 1.5537,                0.79648,                0.77975,                0.83178,                0.46195,                 1.4663,                 1.0007,                 1.8229,               0.001447,               0.001447,               0.001447
                     23,                 1.2253,                 1.1937,                 1.5545,                0.83447,                0.73522,                 0.8285,                0.46919,                  1.454,                 1.0206,                 1.8084,               0.001436,               0.001436,               0.001436
                     24,                 1.1967,                 1.1595,                 1.5366,                 0.8331,                0.75154,                0.84184,                0.47102,                 1.4671,                0.98299,                 1.7923,               0.001425,               0.001425,               0.001425
                     25,                 1.1985,                 1.1546,                 1.5413,                0.81599,                0.77923,                0.83809,                 0.4807,                  1.433,                0.95714,                 1.7966,              0.0014139,              0.0014139,              0.0014139
                     26,                 1.2021,                 1.1429,                 1.5407,                0.84889,                 0.7638,                0.84488,                0.48277,                  1.475,                0.95568,                 1.8114,              0.0014029,              0.0014029,              0.0014029
                     27,                 1.1804,                 1.1321,                 1.5245,                0.84297,                0.77938,                0.85864,                0.50086,                 1.4233,                0.89823,                 1.7614,              0.0013919,              0.0013919,              0.0013919
                     28,                 1.1711,                 1.1046,                 1.5103,                0.84746,                0.78626,                 0.8537,                0.49258,                  1.439,                0.96167,                 1.7717,              0.0013809,              0.0013809,              0.0013809
                     29,                 1.1855,                 1.1187,                 1.5131,                0.83969,                0.78405,                0.85013,                0.49649,                 1.4398,                 0.9418,                 1.7716,              0.0013699,              0.0013699,              0.0013699
                     30,                 1.1642,                 1.0953,                 1.5056,                0.83384,                0.75545,                0.83514,                0.48115,                 1.4514,                 0.9357,                 1.8046,              0.0013589,              0.0013589,              0.0013589
                     31,                 1.1682,                 1.0896,                 1.5156,                0.84092,                0.77825,                 0.8552,                0.48795,                 1.4688,                0.94216,                 1.7771,              0.0013479,              0.0013479,              0.0013479
                     32,                  1.163,                  1.096,                 1.4902,                0.86504,                 0.7515,                0.82922,                0.47386,                 1.4679,                0.91359,                 1.8651,              0.0013369,              0.0013369,              0.0013369
                     33,                 1.1656,                 1.0716,                 1.4956,                0.83319,                0.79261,                0.85626,                0.48915,                 1.4486,                0.90946,                 1.7602,              0.0013259,              0.0013259,              0.0013259
                     34,                  1.156,                 1.0744,                 1.4965,                0.86548,                0.78548,                0.86219,                 0.5046,                 1.4187,                0.89222,                 1.7557,              0.0013149,              0.0013149,              0.0013149
                     35,                 1.1304,                 1.0409,                  1.473,                0.84333,                0.76872,                0.84466,                  0.491,                  1.407,                0.91663,                 1.7778,              0.0013039,              0.0013039,              0.0013039
                     36,                 1.1441,                 1.0412,                 1.4867,                0.85696,                0.78814,                0.85751,                0.50898,                 1.4012,                0.87495,                 1.7656,              0.0012929,              0.0012929,              0.0012929
                     37,                 1.1207,                 1.0326,                  1.476,                0.85471,                0.78613,                0.86367,                0.50923,                 1.4054,                0.88011,                 1.7468,              0.0012819,              0.0012819,              0.0012819
                     38,                 1.1291,                  1.029,                 1.4738,                0.86447,                0.79499,                0.86868,                0.50854,                 1.4163,                0.86227,                 1.7436,              0.0012709,              0.0012709,              0.0012709
                     39,                 1.1225,                 1.0052,                 1.4685,                0.84944,                0.79265,                0.86321,                0.50717,                 1.4088,                0.89054,                 1.7418,              0.0012599,              0.0012599,              0.0012599
                     40,                  1.109,                 1.0076,                 1.4586,                0.83356,                  0.796,                0.84696,                0.49517,                 1.4407,                0.87836,                 1.7795,              0.0012489,              0.0012489,              0.0012489
                     41,                 1.0989,                0.96983,                 1.4462,                0.86898,                0.80277,                0.86983,                0.50643,                 1.4266,                 0.8422,                 1.7519,              0.0012379,              0.0012379,              0.0012379
                     42,                 1.1182,                 1.0109,                 1.4676,                0.85495,                0.80843,                 0.8709,                0.49953,                 1.4477,                0.86792,                 1.7913,              0.0012269,              0.0012269,              0.0012269
                     43,                 1.0987,                0.97071,                 1.4452,                0.84458,                0.77135,                0.83652,                0.48532,                 1.4453,                0.87411,                 1.8278,              0.0012159,              0.0012159,              0.0012159
                     44,                 1.1032,                0.98513,                 1.4533,                0.87119,                0.80989,                0.88173,                0.52502,                 1.3692,                0.82414,                 1.7207,              0.0012049,              0.0012049,              0.0012049
