                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6187,                 2.3701,                 2.0971,                0.78196,                0.64907,                0.69789,                0.41526,                 1.4895,                 1.2677,                 1.8631,              0.0033258,              0.0033258,              0.0033258
                      2,                 1.3923,                 2.0119,                 1.8256,                0.82945,                0.68902,                0.77356,                0.46461,                 1.3689,                 1.0687,                 1.7147,              0.0066372,              0.0066372,              0.0066372
                      3,                 1.3407,                 1.9657,                  1.766,                0.81094,                0.70251,                 0.7732,                0.45273,                 1.3853,                 1.0978,                 1.7191,              0.0099265,              0.0099265,              0.0099265
                      4,                 1.3198,                 1.9123,                 1.7329,                0.80241,                0.71082,                0.77378,                 0.4529,                 1.3676,                  1.078,                 1.7218,               0.009901,               0.009901,               0.009901
                      5,                 1.2926,                 1.8534,                 1.7097,                0.81385,                0.70441,                0.78083,                0.45861,                 1.3764,                 1.1213,                  1.712,               0.009901,               0.009901,               0.009901
                      6,                 1.2685,                 1.7782,                 1.6744,                0.82137,                0.72148,                0.79772,                0.48012,                 1.3573,                 1.0411,                 1.7025,               0.009868,               0.009868,               0.009868
                      7,                 1.2593,                 1.7412,                 1.6641,                0.84717,                0.73837,                 0.8144,                0.48885,                 1.3182,                0.98575,                 1.6619,               0.009835,               0.009835,               0.009835
                      8,                 1.2416,                 1.7108,                 1.6518,                0.75128,                0.66072,                0.72442,                0.42669,                 1.3989,                 1.1676,                 1.7436,               0.009802,               0.009802,               0.009802
                      9,                 1.2236,                 1.6742,                 1.6316,                0.79762,                0.70697,                0.78233,                0.46186,                 1.3365,                 1.0702,                 1.6773,               0.009769,               0.009769,               0.009769
                     10,                 1.2107,                 1.6475,                 1.6231,                0.83529,                0.74828,                0.82463,                0.50151,                 1.3025,                0.98258,                 1.6635,               0.009736,               0.009736,               0.009736
                     11,                 1.2012,                 1.6315,                  1.612,                0.76699,                 0.6545,                0.71524,                0.42319,                 1.4242,                 1.1547,                 1.7895,               0.009703,               0.009703,               0.009703
                     12,                 1.1865,                 1.5977,                 1.6043,                0.80237,                0.74691,                0.79701,                0.47891,                 1.3244,                0.95669,                 1.6686,                0.00967,                0.00967,                0.00967
